"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_member","TestMember","","","产品收款","step1:初始化页面"
"skipped","Tue Jul 14 14:32:24 CST 2020","Tue Jul 14 14:32:24 CST 2020","0","testcases","test_appointment","TestAppointment","","","锁定时间","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_member","TestMember","","","产品挂单","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_potential","TestPotential","","","新增潜客","新增潜客后，在潜客列表验证是否新增一条潜客数据"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_potential","TestPotential","","","已注册会员重复新增潜客","已注册会员的手机号重复新增潜客，弹出提示信息"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_member","TestMember","","","服务挂单","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","快速开单","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","新增潜客","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","新增预约","step1:初始化页面"
"skipped","Tue Jul 14 14:32:24 CST 2020","Tue Jul 14 14:32:24 CST 2020","0","testcases","test_appointment","TestAppointment","","","设置潜客参数","step1:初始化页面"
"passed","Tue Jul 14 14:32:52 CST 2020","Tue Jul 14 14:32:53 CST 2020","1638","testcases","test_marketing","TestMaketing","","","test_Send_ticket_center",""
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","新增潜客","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","新增会员","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","预约单-待服务","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_potential","TestPotential","","","潜客转为会员","潜客转为会员后，分别验证潜客列表已查询不到和在会员列表能查询到"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","预约单-待分配","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_member","TestMember","","","服务收款","会员选择一个服务开单"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","预约单-待付款","step1:初始化页面"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_potential","TestPotential","","","设置潜客参数","各种级别潜客跟进天数设置"
"skipped","Tue Jul 14 14:32:53 CST 2020","Tue Jul 14 14:32:53 CST 2020","0","testcases","test_overview","TestOverview","","","新增潜客","step1:初始化页面"
